"labels","value","fieldValueSetId","fieldValueId","seq","parentId"
"FieldValue","Source hereÖ","301_source","fv0232",0,"n/a"
"FieldValue","Source hereÖ","302_source","fv0233",0,"n/a"
"FieldValue","Source hereÖ","303_source","fv0234",0,"n/a"
"FieldValue","Source hereÖ","308_source","fv0235",0,"n/a"
"FieldValue","Source hereÖ","305_source","fv0236",0,"n/a"
"FieldValue","Source hereÖ","339_source","fv0237",0,"n/a"
"FieldValue","Source hereÖ","345_source","fv0238",0,"n/a"
"FieldValue","Source hereÖ","309_source","fv0239",0,"n/a"
"FieldValue","Source hereÖ","311_source","fv0240",0,"n/a"
"FieldValue","Source hereÖ","313_source","fv0241",0,"n/a"
"FieldValue","Source hereÖ","306_source","fv0242",0,"n/a"
"FieldValue","Source hereÖ","307_source","fv0243",0,"n/a"
"FieldValue","Source hereÖ","346_source","fv0244",0,"n/a"
"FieldValue","Source hereÖ","347_source","fv0245",0,"n/a"
"FieldValue","Source hereÖ","348_source","fv0246",0,"n/a"
"FieldValue","Source hereÖ","349_source","fv0247",0,"n/a"
"FieldValue","Source hereÖ","350_source","fv0248",0,"n/a"
"FieldValue","Source hereÖ","351_source","fv0249",0,"n/a"
"FieldValue","Source hereÖ","352_source","fv0250",0,"n/a"
"FieldValue","Source hereÖ","325_source","fv0251",0,"n/a"
"FieldValue","Source hereÖ","326_source","fv0252",0,"n/a"
"FieldValue","Source hereÖ","331_source","fv0253",0,"n/a"
"FieldValue","Source hereÖ","334_source","fv0254",0,"n/a"
"FieldValue","Source hereÖ","337_source","fv0255",0,"n/a"
"FieldValue","Source hereÖ","341_source","fv0256",0,"n/a"
"FieldValue","Source hereÖ","343_source","fv0257",0,"n/a"
"FieldValue","Source hereÖ","329_source","fv0258",0,"n/a"
"FieldValue","Source hereÖ","304_source","fv0259",0,"n/a"
"FieldValue","Source hereÖ","310_source","fv0260",0,"n/a"
"FieldValue","Source hereÖ","312_source","fv0261",0,"n/a"
"FieldValue","Source hereÖ","314_source","fv0262",0,"n/a"
"FieldValue","Source hereÖ","315_source","fv0263",0,"n/a"
"FieldValue","Source hereÖ","316_source","fv0264",0,"n/a"
"FieldValue","Source hereÖ","317_source","fv0265",0,"n/a"
"FieldValue","Source hereÖ","318_source","fv0266",0,"n/a"
"FieldValue","Source hereÖ","319_source","fv0267",0,"n/a"
"FieldValue","Source hereÖ","320_source","fv0268",0,"n/a"
"FieldValue","Source hereÖ","321_source","fv0269",0,"n/a"
"FieldValue","Source hereÖ","322_source","fv0270",0,"n/a"
"FieldValue","Source hereÖ","324_source","fv0271",0,"n/a"
"FieldValue","Source hereÖ","328_source","fv0272",0,"n/a"
"FieldValue","Source hereÖ","335_source","fv0273",0,"n/a"
"FieldValue","Source hereÖ","332_source","fv0274",0,"n/a"
"FieldValue","Source hereÖ","333_source","fv0275",0,"n/a"
"FieldValue","Source hereÖ","336_source","fv0276",0,"n/a"
"FieldValue","Source hereÖ","338_source","fv0277",0,"n/a"
"FieldValue","Source hereÖ","323_source","fv0278",0,"n/a"
"FieldValue","Source hereÖ","327_source","fv0279",0,"n/a"
"FieldValue","Source hereÖ","340_source","fv0280",0,"n/a"
"FieldValue","Source hereÖ","342_source","fv0281",0,"n/a"
"FieldValue","Source hereÖ","344_source","fv0282",0,"n/a"
"FieldValue","Source hereÖ","330_source","fv0283",0,"n/a"
"FieldValue","Accept criterion hereÖ","301_acceptcriterion","fv0284",0,"n/a"
"FieldValue","Accept criterion hereÖ","302_acceptcriterion","fv0285",0,"n/a"
"FieldValue","Accept criterion hereÖ","303_acceptcriterion","fv0286",0,"n/a"
"FieldValue","Accept criterion hereÖ","308_acceptcriterion","fv0287",0,"n/a"
"FieldValue","Accept criterion hereÖ","305_acceptcriterion","fv0288",0,"n/a"
"FieldValue","Accept criterion hereÖ","339_acceptcriterion","fv0289",0,"n/a"
"FieldValue","Accept criterion hereÖ","345_acceptcriterion","fv0290",0,"n/a"
"FieldValue","Accept criterion hereÖ","309_acceptcriterion","fv0291",0,"n/a"
"FieldValue","Accept criterion hereÖ","311_acceptcriterion","fv0292",0,"n/a"
"FieldValue","Accept criterion hereÖ","313_acceptcriterion","fv0293",0,"n/a"
"FieldValue","Accept criterion hereÖ","306_acceptcriterion","fv0294",0,"n/a"
"FieldValue","Accept criterion hereÖ","307_acceptcriterion","fv0295",0,"n/a"
"FieldValue","Accept criterion hereÖ","346_acceptcriterion","fv0296",0,"n/a"
"FieldValue","Accept criterion hereÖ","347_acceptcriterion","fv0297",0,"n/a"
"FieldValue","Accept criterion hereÖ","348_acceptcriterion","fv0298",0,"n/a"
"FieldValue","Accept criterion hereÖ","349_acceptcriterion","fv0299",0,"n/a"
"FieldValue","Accept criterion hereÖ","350_acceptcriterion","fv0300",0,"n/a"
"FieldValue","Accept criterion hereÖ","351_acceptcriterion","fv0301",0,"n/a"
"FieldValue","Accept criterion hereÖ","352_acceptcriterion","fv0302",0,"n/a"
"FieldValue","Accept criterion hereÖ","325_acceptcriterion","fv0303",0,"n/a"
"FieldValue","Accept criterion hereÖ","326_acceptcriterion","fv0304",0,"n/a"
"FieldValue","Accept criterion hereÖ","331_acceptcriterion","fv0305",0,"n/a"
"FieldValue","Accept criterion hereÖ","334_acceptcriterion","fv0306",0,"n/a"
"FieldValue","Accept criterion hereÖ","337_acceptcriterion","fv0307",0,"n/a"
"FieldValue","Accept criterion hereÖ","341_acceptcriterion","fv0308",0,"n/a"
"FieldValue","Accept criterion hereÖ","343_acceptcriterion","fv0309",0,"n/a"
"FieldValue","Accept criterion hereÖ","329_acceptcriterion","fv0310",0,"n/a"
"FieldValue","Accept criterion hereÖ","304_acceptcriterion","fv0311",0,"n/a"
"FieldValue","Accept criterion hereÖ","310_acceptcriterion","fv0312",0,"n/a"
"FieldValue","Accept criterion hereÖ","312_acceptcriterion","fv0313",0,"n/a"
"FieldValue","Accept criterion hereÖ","314_acceptcriterion","fv0314",0,"n/a"
"FieldValue","Accept criterion hereÖ","315_acceptcriterion","fv0315",0,"n/a"
"FieldValue","Accept criterion hereÖ","316_acceptcriterion","fv0316",0,"n/a"
"FieldValue","Accept criterion hereÖ","317_acceptcriterion","fv0317",0,"n/a"
"FieldValue","Accept criterion hereÖ","318_acceptcriterion","fv0318",0,"n/a"
"FieldValue","Accept criterion hereÖ","319_acceptcriterion","fv0319",0,"n/a"
"FieldValue","Accept criterion hereÖ","320_acceptcriterion","fv0320",0,"n/a"
"FieldValue","Accept criterion hereÖ","321_acceptcriterion","fv0321",0,"n/a"
"FieldValue","Accept criterion hereÖ","322_acceptcriterion","fv0322",0,"n/a"
"FieldValue","Accept criterion hereÖ","324_acceptcriterion","fv0323",0,"n/a"
"FieldValue","Accept criterion hereÖ","328_acceptcriterion","fv0324",0,"n/a"
"FieldValue","Accept criterion hereÖ","335_acceptcriterion","fv0325",0,"n/a"
"FieldValue","Accept criterion hereÖ","332_acceptcriterion","fv0326",0,"n/a"
"FieldValue","Accept criterion hereÖ","333_acceptcriterion","fv0327",0,"n/a"
"FieldValue","Accept criterion hereÖ","336_acceptcriterion","fv0328",0,"n/a"
"FieldValue","Accept criterion hereÖ","338_acceptcriterion","fv0329",0,"n/a"
"FieldValue","Accept criterion hereÖ","323_acceptcriterion","fv0330",0,"n/a"
"FieldValue","Accept criterion hereÖ","327_acceptcriterion","fv0331",0,"n/a"
"FieldValue","Accept criterion hereÖ","340_acceptcriterion","fv0332",0,"n/a"
"FieldValue","Accept criterion hereÖ","342_acceptcriterion","fv0333",0,"n/a"
"FieldValue","Accept criterion hereÖ","344_acceptcriterion","fv0334",0,"n/a"
"FieldValue","Accept criterion hereÖ","330_acceptcriterion","fv0335",0,"n/a"
"FieldValue","Device: Security - Controller-Pod drive","360_title","fv0336",0,"n/a"
"FieldValue","Device: Security - Controller-Pod communication","361_title","fv0337",0,"n/a"
"FieldValue","Device: Architecture","362_title","fv0338",0,"n/a"
"FieldValue","Device: Security - pre-programmed","586_title","fv0339",0,"n/a"
"FieldValue","Device: ATE interface","591_title","fv0340",0,"n/a"
"FieldValue","Device: Components - Skin Sensor","593_title","fv0341",0,"n/a"
"FieldValue","Device: Coupling - ease","594_title","fv0342",0,"n/a"
"FieldValue","Device: Coupling - method","595_title","fv0343",0,"n/a"
"FieldValue","Device: Service (2)","643_title","fv0344",0,"n/a"
"FieldValue","Device: Service (1)","644_title","fv0345",0,"n/a"
"FieldValue","Device: Composition","732_title","fv0346",0,"n/a"
"FieldValue","Device purpose: On-body Delivery System","353_title","fv0347",0,"n/a"
"FieldValue","Device purpose: basal infusion","354_title","fv0348",0,"n/a"
"FieldValue","Device purpose: bolus delivery","355_title","fv0349",0,"n/a"
"FieldValue","Device purpose: Wearable","356_title","fv0350",0,"n/a"
"FieldValue","Device purpose: Drug access","357_title","fv0351",0,"n/a"
"FieldValue","Device purpose: User feedback","358_title","fv0352",0,"n/a"
"FieldValue","Device purpose: Ensure safe use","359_title","fv0353",0,"n/a"
"FieldValue","Device purpose: Lifecycle (use)","385_title","fv0354",0,"n/a"
"FieldValue","Device FSM: State - basal","402_title","fv0355",0,"n/a"
"FieldValue","Drug delivery (basal): Number of pulses per hour","403_title","fv0356",0,"n/a"
"FieldValue","Drug delivery (basal): Pre-programming","404_title","fv0357",0,"n/a"
"FieldValue","Drug delivery (basal): Dose configurations","405_title","fv0358",0,"n/a"
"FieldValue","Drug delivery (basal): Pulse flow rate","406_title","fv0359",0,"n/a"
"FieldValue","Drug delivery (bolus): bolus volume","407_title","fv0360",0,"n/a"
"FieldValue","Drug delivery (bolus): Pre-programming","408_title","fv0361",0,"n/a"
"FieldValue","Drug delivery (bolus): bolus flow rate","409_title","fv0362",0,"n/a"
"FieldValue","Drug delivery (bolus): Availability per Therapy Cycle","410_title","fv0363",0,"n/a"
"FieldValue","Drug delivery (bolus): Maximum per Therapy Cycle","411_title","fv0364",0,"n/a"
"FieldValue","Drug delivery (bolus): Availability, first hour","412_title","fv0365",0,"n/a"
"FieldValue","Drug delivery (bolus): Availability, after first hour","413_title","fv0366",0,"n/a"
