"tmpID","labels","value","reqType","fieldName","modeluid","uid","seq","parentId"
"fv0027","FieldValue","Environmental","STAKEHOLDER","category","","",2,"N/A"
"fv0028","FieldValue","Physical And Aesthetical","STAKEHOLDER","category","","",3,"N/A"
"fv0029","FieldValue","Architecture And Design Decisions","STAKEHOLDER","category","","",4,"N/A"
"fv0030","FieldValue","Normative and Applicable Standard-derived","STAKEHOLDER","category","","",5,"N/A"
"fv0031","FieldValue","Safety","STAKEHOLDER","category","","",6,"N/A"
"fv0032","FieldValue","Manufacturing","STAKEHOLDER","category","","",7,"N/A"
"fv0033","FieldValue","Capability & Performance","STAKEHOLDER","category","","",8,"N/A"
"fv0034","FieldValue","Operation& Function","STAKEHOLDER","category","","",9,"N/A"
"fv0035","FieldValue","Markets & Regulations","STAKEHOLDER","category","","",10,"N/A"
"fv0036","FieldValue","UI","STAKEHOLDER","category","","",11,"N/A"
"fv0037","FieldValue","Function And Performance","STAKEHOLDER","category","","",12,"N/A"
"fv0038","FieldValue","Characteristics & Properties","STAKEHOLDER","category","","",13,"N/A"
"fv0039","FieldValue","Security","STAKEHOLDER","category","","",14,"N/A"
"fv0040","FieldValue","Purpose","STAKEHOLDER","category","","",15,"N/A"
"fv0041","FieldValue","UI & Ease of use","STAKEHOLDER","category","","",16,"N/A"
"fv0042","FieldValue","USER TEST","STAKEHOLDER","validationMethod","","",0,"N/A"
"fv0043","FieldValue","QUESTIONNAIRE","STAKEHOLDER","validationMethod","","",1,"N/A"
"fv0044","FieldValue","INTERVIEW","STAKEHOLDER","validationMethod","","",2,"N/A"
"fv0045","FieldValue","ANALYSIS","STAKEHOLDER","validationMethod","","",3,"N/A"
"fv0046","FieldValue","UI & Ease of use","TECHNICAL","category","","",0,"N/A"
"fv0047","FieldValue","Manufacturing","TECHNICAL","category","","",1,"N/A"
"fv0048","FieldValue","Labelling And Marking","TECHNICAL","category","","",2,"N/A"
"fv0049","FieldValue","Function And Performance","TECHNICAL","category","","",3,"N/A"
"fv0050","FieldValue","UI","TECHNICAL","category","","",4,"N/A"
"fv0051","FieldValue","Security","TECHNICAL","category","","",5,"N/A"
"fv0052","FieldValue","Normative and Applicable Standard-derived","TECHNICAL","category","","",6,"N/A"
"fv0053","FieldValue","Capability & Performance","TECHNICAL","category","","",7,"N/A"
"fv0054","FieldValue","Operation& Function","TECHNICAL","category","","",8,"N/A"
"fv0055","FieldValue","Physical And Aesthetical","TECHNICAL","category","","",9,"N/A"
"fv0056","FieldValue","Architecture And Design Decisions","TECHNICAL","category","","",10,"N/A"
"fv0057","FieldValue","Environmental","TECHNICAL","category","","",11,"N/A"
"fv0058","FieldValue","Safety","TECHNICAL","category","","",12,"N/A"
"fv0059","FieldValue","Purpose","TECHNICAL","category","","",13,"N/A"
"fv0060","FieldValue","Characteristics & Properties","TECHNICAL","category","","",14,"N/A"
"fv0061","FieldValue","Packaging, Handling, Shipping And Transportation","TECHNICAL","category","","",15,"N/A"
"fv0062","FieldValue","Markets & Regulations","TECHNICAL","category","","",16,"N/A"
"fv0063","FieldValue","Analysis","TECHNICAL","verificationMethod","","",0,"N/A"
"fv0064","FieldValue","Demonstration","TECHNICAL","verificationMethod","","",1,"N/A"
"fv0065","FieldValue","Trace","TECHNICAL","verificationMethod","","",2,"N/A"
"fv0066","FieldValue","Test","TECHNICAL","verificationMethod","","",3,"N/A"
"fv0067","FieldValue","Inspection","TECHNICAL","verificationMethod","","",4,"N/A"
"fv0068","FieldValue","true","STAKEHOLDER","userNeed","","",0,"N/A"
"fv0069","FieldValue","false","STAKEHOLDER","userNeed","","",1,"N/A"
"fv0070","FieldValue","true","TECHNICAL","riskControl","","",0,"N/A"
"fv0071","FieldValue","false","TECHNICAL","riskControl","","",1,"N/A"
"fv1860","FieldValue","Clinical","STAKEHOLDER","tags","","",0,"N/A"
"fv1861","FieldValue","Nice-to-have","STAKEHOLDER","tags","","",1,"N/A"
"fv1862","FieldValue","Functional","TECHNICAL","tags","","",0,"N/A"
"fv1863","FieldValue","IFU","TECHNICAL","tags","","",1,"N/A"
"fv0072","FieldValue","Device Purpose","PURPOSE","title","","",0,"N/A"
"fv0073","FieldValue","be an on-body drug delivery device suitable for home use with multiple drug formulations.","PURPOSE","specification","","",0,"N/A"
"fv0074","FieldValue","Purpose comments text","PURPOSE","comments","","",0,"N/A"
"fv0075","FieldValue","Purpose source text","PURPOSE","source","","",0,"N/A"
"fv0076","FieldValue","Drug access","STAKEHOLDER","title","","",0,"N/A"
"fv0077","FieldValue","Fixed drug delivery parameters","STAKEHOLDER","title","","",1,"N/A"
"fv0078","FieldValue","Sales territories","STAKEHOLDER","title","","",2,"N/A"
"fv0079","FieldValue","Architecture","STAKEHOLDER","title","","",3,"N/A"
"fv0080","FieldValue","Prevention of needle-stick injuries","STAKEHOLDER","title","","",4,"N/A"
"fv0081","FieldValue","Needle safety","STAKEHOLDER","title","","",5,"N/A"
"fv0082","FieldValue","Delivery conditions","STAKEHOLDER","title","","",6,"N/A"
"fv0083","FieldValue","Device noise level","STAKEHOLDER","title","","",7,"N/A"
"fv0084","FieldValue","Drug maximum volume","STAKEHOLDER","title","","",8,"N/A"
"fv0085","FieldValue","Basal flow rate","STAKEHOLDER","title","","",9,"N/A"
"fv0086","FieldValue","Attachment to the body","STAKEHOLDER","title","","",10,"N/A"
"fv0087","FieldValue","Convenient and intuitive operation","STAKEHOLDER","title","","",11,"N/A"
"fv0088","FieldValue","Ease of use","STAKEHOLDER","title","","",12,"N/A"
"fv0089","FieldValue","Bolus button","STAKEHOLDER","title","","",13,"N/A"
"fv0090","FieldValue","Bolus availability","STAKEHOLDER","title","","",14,"N/A"
"fv0091","FieldValue","Bolus delivery feedback","STAKEHOLDER","title","","",15,"N/A"
"fv0092","FieldValue","Device status indication","STAKEHOLDER","title","","",16,"N/A"
"fv0093","FieldValue","Administration completion feedback","STAKEHOLDER","title","","",17,"N/A"
"fv0094","FieldValue","Usability","STAKEHOLDER","title","","",18,"N/A"
"fv0095","FieldValue","Injection needle diameter","STAKEHOLDER","title","","",19,"N/A"
"fv0096","FieldValue","Sterilization","STAKEHOLDER","title","","",20,"N/A"
"fv0097","FieldValue","Stopping conditions","STAKEHOLDER","title","","",21,"N/A"
"fv0098","FieldValue","Injection site","STAKEHOLDER","title","","",22,"N/A"
"fv0099","FieldValue","Pause function","STAKEHOLDER","title","","",23,"N/A"
"fv0100","FieldValue","Needle protection irreversible actuation","STAKEHOLDER","title","","",24,"N/A"
"fv0101","FieldValue","Needle protection not reversible","STAKEHOLDER","title","","",25,"N/A"
"fv0102","FieldValue","Device storage shelf life","STAKEHOLDER","title","","",26,"N/A"
"fv0103","FieldValue","Dosing performance","STAKEHOLDER","title","","",27,"N/A"
"fv0104","FieldValue","Drug viscosity","STAKEHOLDER","title","","",28,"N/A"
"fv0105","FieldValue","Air management","STAKEHOLDER","title","","",29,"N/A"
"fv0106","FieldValue","Minimum delivery increment","STAKEHOLDER","title","","",30,"N/A"
"fv0107","FieldValue","Dose accuracy - basal","STAKEHOLDER","title","","",31,"N/A"
"fv0108","FieldValue","Boluses quantity","STAKEHOLDER","title","","",32,"N/A"
"fv0109","FieldValue","Bolus volume","STAKEHOLDER","title","","",33,"N/A"
"fv0110","FieldValue","Missed volume","STAKEHOLDER","title","","",34,"N/A"
"fv0111","FieldValue","Dose accuracy - bolus","STAKEHOLDER","title","","",35,"N/A"
"fv0112","FieldValue","Adherence time","STAKEHOLDER","title","","",36,"N/A"
"fv0113","FieldValue","Self-sufficiency","STAKEHOLDER","title","","",37,"N/A"
"fv0114","FieldValue","Ingress protection","STAKEHOLDER","title","","",38,"N/A"
"fv0115","FieldValue","Dose configurations","STAKEHOLDER","title","","",39,"N/A"
"fv0116","FieldValue","Device dimensions","STAKEHOLDER","title","","",40,"N/A"
"fv0117","FieldValue","Skin adherence","STAKEHOLDER","title","","",41,"N/A"
"fv0118","FieldValue","Needle insertion","STAKEHOLDER","title","","",42,"N/A"
"fv0119","FieldValue","Needle insertion period","STAKEHOLDER","title","","",43,"N/A"
"fv0120","FieldValue","Bolus availability quantity","STAKEHOLDER","title","","",44,"N/A"
"fv0121","FieldValue","Needle injection length","STAKEHOLDER","title","","",45,"N/A"
"fv0122","FieldValue","Pre-filling","STAKEHOLDER","title","","",46,"N/A"
"fv0123","FieldValue","Delivery profile settings","STAKEHOLDER","title","","",47,"N/A"
"fv0124","FieldValue","Drug access","STAKEHOLDER","title","","",48,"N/A"
"fv0125","FieldValue","Needle protection compliance","STAKEHOLDER","title","","",49,"N/A"
"fv0126","FieldValue","Dose configuration management","STAKEHOLDER","title","","",50,"N/A"
"fv0127","FieldValue","Device safety compliance","STAKEHOLDER","title","","",51,"N/A"
"fv0128","FieldValue","be able to demonstrate that the USER cannot gain direct access to the drug.","STAKEHOLDER","specification","","",0,"N/A"
"fv0129","FieldValue","be able to demonstrate that the USER cannot modify the preset drug delivery parameters.","STAKEHOLDER","specification","","",1,"N/A"
"fv0130","FieldValue","be able to market the DEVICE in the following regions: US, Europe and Brazil.","STAKEHOLDER","specification","","",2,"N/A"
"fv0131","FieldValue","be able to show that the Architecture defined in Doc_nnn has been fulfilled.","STAKEHOLDER","specification","","",3,"N/A"
"fv0132","FieldValue","be protected form needle-stick injuries.","STAKEHOLDER","specification","","",4,"N/A"
"fv0133","FieldValue","not be exposed to an unprotected needle tip at any stage of the DEVICE operation.","STAKEHOLDER","specification","","",5,"N/A"
"fv0134","FieldValue","be able to deliver the drug into subcutaneous tissue via a single button press.","STAKEHOLDER","specification","","",6,"N/A"
"fv0135","FieldValue","be able to sleep undisturbed during normal operating conditions.","STAKEHOLDER","specification","","",7,"N/A"
"fv0136","FieldValue","be able to receive a minimum total dose of 2 ml of drug per disposable part.","STAKEHOLDER","specification","","",8,"N/A"
"fv0137","FieldValue","receive the drug dosage at the following flow rates only:  20 ± 0.5 µL/hr, 30 ± 0.5 µL/hr, 40 ± 0.5 µL/hr","STAKEHOLDER","specification","","",9,"N/A"
"fv0138","FieldValue","be able to attach the DEVICE to the body.","STAKEHOLDER","specification","","",10,"N/A"
"fv0139","FieldValue","find the device simple and convenient to use.","STAKEHOLDER","specification","","",11,"N/A"
"fv0140","FieldValue","be able to operate the DEVICE without training.","STAKEHOLDER","specification","","",12,"N/A"
"fv0141","FieldValue","be able to release a pre-programmed bolus on demand.","STAKEHOLDER","specification","","",13,"N/A"
"fv0142","FieldValue","be able to understand the bolus availability at any moment during therapy.","STAKEHOLDER","specification","","",14,"N/A"
"fv0143","FieldValue","be able to understand that the DEVICE has successfully delivered the drug.","STAKEHOLDER","specification","","",15,"N/A"
"fv0144","FieldValue","be able to understand the status of the DEVICE during operation (e.g. pause, delivery, battery low).","STAKEHOLDER","specification","","",16,"N/A"
"fv0145","FieldValue","be able to understand when the disposable part needs to be replaced.","STAKEHOLDER","specification","","",17,"N/A"
"fv0146","FieldValue","perceive the DEVICE to be easy to use.","STAKEHOLDER","specification","","",18,"N/A"
"fv0147","FieldValue","receive the drug via a 29G TW or STW rigid injection needle.","STAKEHOLDER","specification","","",19,"N/A"
"fv0148","FieldValue","receive the DEVICE with the entire fluid path in a sterilized condition.","STAKEHOLDER","specification","","",20,"N/A"
"fv0149","FieldValue","experience that the DEVICE to stops operating within 5 secs of being removed from the body.","STAKEHOLDER","specification","","",21,"N/A"
"fv0150","FieldValue","be able to wear the DEVICE on the upper arm, abdomen, or thigh.","STAKEHOLDER","specification","","",22,"N/A"
"fv0151","FieldValue","be able to activate a ""Pause"" function that suspends all drug delivery indefinitely or until re-activation is requested.","STAKEHOLDER","specification","","",23,"N/A"
"fv0152","FieldValue","be able to claim that the DEVICE has an irreversible needle protetion device.","STAKEHOLDER","specification","","",24,"N/A"
"fv0153","FieldValue","be able to claim that needle protection features are non-resettable.","STAKEHOLDER","specification","","",25,"N/A"
"fv0154","FieldValue","be able to claim that non-disposable parts have a storage shelf life at room temperature of 36 months.","STAKEHOLDER","specification","","",26,"N/A"
"fv0155","FieldValue","be able to claim marketing-leading dosing performance and accuracy.","STAKEHOLDER","specification","","",27,"N/A"
"fv0156","FieldValue","be able to market the DEVICE with drugs of viscosity 2.1 ± 0.5 cP solution.","STAKEHOLDER","specification","","",28,"N/A"
"fv0157","FieldValue","be able to claim a maximum error of 5% in total delivered volume per disposable part.","STAKEHOLDER","specification","","",29,"N/A"
"fv0158","FieldValue","be able to claim a minimum delivery increment of maximum 6 µL.","STAKEHOLDER","specification","","",30,"N/A"
"fv0159","FieldValue","be able to claim a volumetric delivery accuracy of 20% per hour.","STAKEHOLDER","specification","","",31,"N/A"
"fv0160","FieldValue","requires that the DEVICE be capable of delivering up to 40 discrete boluses per disposable part.","STAKEHOLDER","specification","","",32,"N/A"
"fv0161","FieldValue","requires that there are three discrete bolus delivery volumes: 10, 20 and 30 µL.","STAKEHOLDER","specification","","",33,"N/A"
"fv0162","FieldValue","be able to claim a maximum cumulative fluid delivery volume loss of  12 uL per disposable part.","STAKEHOLDER","specification","","",34,"N/A"
"fv0163","FieldValue","be able to claim a delivery accuracy of ±3 %.","STAKEHOLDER","specification","","",35,"N/A"
"fv0164","FieldValue","be able to demonstrate that the DEVICE remains adhered to patient for a minimum of 24 hrs during normal use.","STAKEHOLDER","specification","","",36,"N/A"
"fv0165","FieldValue","be able to claim that the DEVICE is self-contained and requires no other additional componenst for normal use.","STAKEHOLDER","specification","","",37,"N/A"
"fv0166","FieldValue","be able to claim that the assembled DEVICE has a minimum IPX5 rating.","STAKEHOLDER","specification","","",38,"N/A"
"fv0167","FieldValue","requires that the DEVICE be available in two configurations of high and low basal/bolus dose configurations that are pre-set at the factory.","STAKEHOLDER","specification","","",39,"N/A"
"fv0168","FieldValue","be able to claim that the DEVICE dimensions are no greater than 120 x 50 x 15 mm in its assembled state (not including the skin patch).","STAKEHOLDER","specification","","",40,"N/A"
"fv0169","FieldValue","be able to market the DEVICE as adhering to the body without the need for additional fixing methods, such as tape.","STAKEHOLDER","specification","","",41,"N/A"
"fv0170","FieldValue","be able to demonstrate that USER-PATIENT activation of the device is necessary before needle insertion.","STAKEHOLDER","specification","","",42,"N/A"
"fv0171","FieldValue","be able to demonstrate that, once inserted, the injection needle shall remain within the subcutaneous tissue for the entire use period.","STAKEHOLDER","specification","","",43,"N/A"
"fv0172","FieldValue","be able to demonstrate that the availability of doses is limited as follows: 3 in the first hour, 2 in subsequent hours.","STAKEHOLDER","specification","","",44,"N/A"
"fv0173","FieldValue","be able to demonstrate that the nominal injection depth is 5 mm.","STAKEHOLDER","specification","","",45,"N/A"
"fv0174","FieldValue","receive the disposable part with the drug pre-filled.","STAKEHOLDER","specification","","",46,"N/A"
"fv0175","FieldValue","be able to program the DEVICE at chip component level during manufacturing.","STAKEHOLDER","specification","","",47,"N/A"
"fv0176","FieldValue","be able to demonstrate that accesss to the drug is not possible without using destructive means.","STAKEHOLDER","specification","","",48,"N/A"
"fv0177","FieldValue","be able to show that the needle protection features of the DEVICE prevent injury when tested in accordance with ISO 23908 requirements and test methods.","STAKEHOLDER","specification","","",49,"N/A"
"fv0178","FieldValue","be able to show that dose configuration cannot be changed after production.","STAKEHOLDER","specification","","",50,"N/A"
"fv0179","FieldValue","be able to demonstrate that the DEVICE is compliant with the electrical safety regulations for Class II medical devices in Europe, North America and Brazil.","STAKEHOLDER","specification","","",51,"N/A"
"fv0180","FieldValue","Comments here","STAKEHOLDER","comments","","",0,"N/A"
"fv0181","FieldValue","Comments here","STAKEHOLDER","comments","","",1,"N/A"
"fv0182","FieldValue","Comments here","STAKEHOLDER","comments","","",2,"N/A"
"fv0183","FieldValue","Comments here","STAKEHOLDER","comments","","",3,"N/A"
"fv0184","FieldValue","Comments here","STAKEHOLDER","comments","","",4,"N/A"
"fv0185","FieldValue","Comments here","STAKEHOLDER","comments","","",5,"N/A"
"fv0186","FieldValue","Comments here","STAKEHOLDER","comments","","",6,"N/A"
"fv0187","FieldValue","Comments here","STAKEHOLDER","comments","","",7,"N/A"
"fv0188","FieldValue","Comments here","STAKEHOLDER","comments","","",8,"N/A"
"fv0189","FieldValue","Comments here","STAKEHOLDER","comments","","",9,"N/A"
"fv0190","FieldValue","Comments here","STAKEHOLDER","comments","","",10,"N/A"
"fv0191","FieldValue","Comments here","STAKEHOLDER","comments","","",11,"N/A"
"fv0192","FieldValue","Comments here","STAKEHOLDER","comments","","",12,"N/A"
"fv0193","FieldValue","Comments here","STAKEHOLDER","comments","","",13,"N/A"
"fv0194","FieldValue","Comments here","STAKEHOLDER","comments","","",14,"N/A"
"fv0195","FieldValue","Comments here","STAKEHOLDER","comments","","",15,"N/A"
"fv0196","FieldValue","Comments here","STAKEHOLDER","comments","","",16,"N/A"
"fv0197","FieldValue","Comments here","STAKEHOLDER","comments","","",17,"N/A"
"fv0198","FieldValue","Comments here","STAKEHOLDER","comments","","",18,"N/A"
"fv0199","FieldValue","Comments here","STAKEHOLDER","comments","","",19,"N/A"
"fv0200","FieldValue","Comments here","STAKEHOLDER","comments","","",20,"N/A"
"fv0201","FieldValue","Comments here","STAKEHOLDER","comments","","",21,"N/A"
"fv0202","FieldValue","Comments here","STAKEHOLDER","comments","","",22,"N/A"
"fv0203","FieldValue","Comments here","STAKEHOLDER","comments","","",23,"N/A"
"fv0204","FieldValue","Comments here","STAKEHOLDER","comments","","",24,"N/A"
"fv0205","FieldValue","Comments here","STAKEHOLDER","comments","","",25,"N/A"
"fv0206","FieldValue","Comments here","STAKEHOLDER","comments","","",26,"N/A"
"fv0207","FieldValue","Comments here","STAKEHOLDER","comments","","",27,"N/A"
"fv0208","FieldValue","Comments here","STAKEHOLDER","comments","","",28,"N/A"
"fv0209","FieldValue","Comments here","STAKEHOLDER","comments","","",29,"N/A"
"fv0210","FieldValue","Comments here","STAKEHOLDER","comments","","",30,"N/A"
"fv0211","FieldValue","Comments here","STAKEHOLDER","comments","","",31,"N/A"
"fv0212","FieldValue","Comments here","STAKEHOLDER","comments","","",32,"N/A"
"fv0213","FieldValue","Comments here","STAKEHOLDER","comments","","",33,"N/A"
"fv0214","FieldValue","Comments here","STAKEHOLDER","comments","","",34,"N/A"
"fv0215","FieldValue","Comments here","STAKEHOLDER","comments","","",35,"N/A"
"fv0216","FieldValue","Comments here","STAKEHOLDER","comments","","",36,"N/A"
"fv0217","FieldValue","Comments here","STAKEHOLDER","comments","","",37,"N/A"
"fv0218","FieldValue","Comments here","STAKEHOLDER","comments","","",38,"N/A"
"fv0219","FieldValue","Comments here","STAKEHOLDER","comments","","",39,"N/A"
"fv0220","FieldValue","Comments here","STAKEHOLDER","comments","","",40,"N/A"
"fv0221","FieldValue","Comments here","STAKEHOLDER","comments","","",41,"N/A"
"fv0222","FieldValue","Comments here","STAKEHOLDER","comments","","",42,"N/A"
"fv0223","FieldValue","Comments here","STAKEHOLDER","comments","","",43,"N/A"
"fv0224","FieldValue","Comments here","STAKEHOLDER","comments","","",44,"N/A"
"fv0225","FieldValue","Comments here","STAKEHOLDER","comments","","",45,"N/A"
"fv0226","FieldValue","Comments here","STAKEHOLDER","comments","","",46,"N/A"
"fv0227","FieldValue","Comments here","STAKEHOLDER","comments","","",47,"N/A"
"fv0228","FieldValue","Comments here","STAKEHOLDER","comments","","",48,"N/A"
"fv0229","FieldValue","Comments here","STAKEHOLDER","comments","","",49,"N/A"
"fv0230","FieldValue","Comments here","STAKEHOLDER","comments","","",50,"N/A"
"fv0231","FieldValue","Comments here","STAKEHOLDER","comments","","",51,"N/A"
"fv0232","FieldValue","Source here","STAKEHOLDER","source","","",0,"N/A"
"fv0233","FieldValue","Source here","STAKEHOLDER","source","","",1,"N/A"
"fv0234","FieldValue","Source here","STAKEHOLDER","source","","",2,"N/A"
"fv0235","FieldValue","Source here","STAKEHOLDER","source","","",3,"N/A"
"fv0236","FieldValue","Source here","STAKEHOLDER","source","","",4,"N/A"
"fv0237","FieldValue","Source here","STAKEHOLDER","source","","",5,"N/A"
"fv0238","FieldValue","Source here","STAKEHOLDER","source","","",6,"N/A"
"fv0239","FieldValue","Source here","STAKEHOLDER","source","","",7,"N/A"
"fv0240","FieldValue","Source here","STAKEHOLDER","source","","",8,"N/A"
"fv0241","FieldValue","Source here","STAKEHOLDER","source","","",9,"N/A"
"fv0242","FieldValue","Source here","STAKEHOLDER","source","","",10,"N/A"
"fv0243","FieldValue","Source here","STAKEHOLDER","source","","",11,"N/A"
"fv0244","FieldValue","Source here","STAKEHOLDER","source","","",12,"N/A"
"fv0245","FieldValue","Source here","STAKEHOLDER","source","","",13,"N/A"
"fv0246","FieldValue","Source here","STAKEHOLDER","source","","",14,"N/A"
"fv0247","FieldValue","Source here","STAKEHOLDER","source","","",15,"N/A"
"fv0248","FieldValue","Source here","STAKEHOLDER","source","","",16,"N/A"
"fv0249","FieldValue","Source here","STAKEHOLDER","source","","",17,"N/A"
"fv0250","FieldValue","Source here","STAKEHOLDER","source","","",18,"N/A"
"fv0251","FieldValue","Source here","STAKEHOLDER","source","","",19,"N/A"
"fv0252","FieldValue","Source here","STAKEHOLDER","source","","",20,"N/A"
"fv0253","FieldValue","Source here","STAKEHOLDER","source","","",21,"N/A"
"fv0254","FieldValue","Source here","STAKEHOLDER","source","","",22,"N/A"
"fv0255","FieldValue","Source here","STAKEHOLDER","source","","",23,"N/A"
"fv0256","FieldValue","Source here","STAKEHOLDER","source","","",24,"N/A"
"fv0257","FieldValue","Source here","STAKEHOLDER","source","","",25,"N/A"
"fv0258","FieldValue","Source here","STAKEHOLDER","source","","",26,"N/A"
"fv0259","FieldValue","Source here","STAKEHOLDER","source","","",27,"N/A"
"fv0260","FieldValue","Source here","STAKEHOLDER","source","","",28,"N/A"
"fv0261","FieldValue","Source here","STAKEHOLDER","source","","",29,"N/A"
"fv0262","FieldValue","Source here","STAKEHOLDER","source","","",30,"N/A"
"fv0263","FieldValue","Source here","STAKEHOLDER","source","","",31,"N/A"
"fv0264","FieldValue","Source here","STAKEHOLDER","source","","",32,"N/A"
"fv0265","FieldValue","Source here","STAKEHOLDER","source","","",33,"N/A"
"fv0266","FieldValue","Source here","STAKEHOLDER","source","","",34,"N/A"
"fv0267","FieldValue","Source here","STAKEHOLDER","source","","",35,"N/A"
"fv0268","FieldValue","Source here","STAKEHOLDER","source","","",36,"N/A"
"fv0269","FieldValue","Source here","STAKEHOLDER","source","","",37,"N/A"
"fv0270","FieldValue","Source here","STAKEHOLDER","source","","",38,"N/A"
"fv0271","FieldValue","Source here","STAKEHOLDER","source","","",39,"N/A"
"fv0272","FieldValue","Source here","STAKEHOLDER","source","","",40,"N/A"
"fv0273","FieldValue","Source here","STAKEHOLDER","source","","",41,"N/A"
"fv0274","FieldValue","Source here","STAKEHOLDER","source","","",42,"N/A"
"fv0275","FieldValue","Source here","STAKEHOLDER","source","","",43,"N/A"
"fv0276","FieldValue","Source here","STAKEHOLDER","source","","",44,"N/A"
"fv0277","FieldValue","Source here","STAKEHOLDER","source","","",45,"N/A"
"fv0278","FieldValue","Source here","STAKEHOLDER","source","","",46,"N/A"
"fv0279","FieldValue","Source here","STAKEHOLDER","source","","",47,"N/A"
"fv0280","FieldValue","Source here","STAKEHOLDER","source","","",48,"N/A"
"fv0281","FieldValue","Source here","STAKEHOLDER","source","","",49,"N/A"
"fv0282","FieldValue","Source here","STAKEHOLDER","source","","",50,"N/A"
"fv0283","FieldValue","Source here","STAKEHOLDER","source","","",51,"N/A"
"fv0284","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",0,"N/A"
"fv0285","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",1,"N/A"
"fv0286","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",2,"N/A"
"fv0287","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",3,"N/A"
"fv0288","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",4,"N/A"
"fv0289","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",5,"N/A"
"fv0290","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",6,"N/A"
"fv0291","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",7,"N/A"
"fv0292","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",8,"N/A"
"fv0293","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",9,"N/A"
"fv0294","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",10,"N/A"
"fv0295","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",11,"N/A"
"fv0296","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",12,"N/A"
"fv0297","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",13,"N/A"
"fv0298","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",14,"N/A"
"fv0299","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",15,"N/A"
"fv0300","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",16,"N/A"
"fv0301","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",17,"N/A"
"fv0302","FieldValue","Accept criterion here","STAKEHOLDER","acceptanceCriterion","","",18,"N/A"
